Tên công việc,Tên công ty,Nơi làm việc,Địa chỉ cụ thể,Cấp bậc,Mức lương (VND),Ngày đăng tin,Ngày hết hạn,Link
Kỹ Sư Shopdrawing (Triển Khai Bản Vẽ Thi Công),Công Ty Cổ Phần Vinhomes,Hưng Yên,"Nghĩa Trụ, Văn Giang, Hưng Yên, Việt Nam",Nhân viên,700 - 1.000 VND,2025-09-18,2025-10-18,https://www.vietnamworks.com/ky-su-shopdrawing-trien-khai-ban-ve-thi-cong--1959410-jv
Nhân Viên Kỹ Thuật Sản Xuất (Tiếng Nhật N3 Trở Lên),"Hamaden Vietnam CO., LTD","Hải Dương, Hà Nội, Hưng Yên","Hải Dương, Việt Nam; Hà Nội, Vietnam; Lô A4, KCN Thăng Long 2, Liêu Xá, Yên Mỹ, Hưng Yên",Nhân viên,Thỏa thuận,2025-09-22,2025-10-22,https://www.vietnamworks.com/nhan-vien-ky-thuat-san-xuat-tieng-nhat-n3-tro-len--1945736-jv
Tuyển Sinh Thạc Sỹ Tài Chính,Chương Trình Thạc Sỹ Tài Chính Từ Đại Học Thương Mại Và Đại Học Jean Moulin Lyon 3,Hà Nội,Ha Noi,Nhân viên,Thỏa thuận,2025-09-23,2025-10-23,https://www.vietnamworks.com/tuyen-sinh-thac-sy-tai-chinh-1-1-1-1--1961466-jv
Nhân Viên Phòng Kỹ Thuật Sản Xuất (PE),Công Ty TNHH DENSO Việt Nam,Hà Nội,"Lô E-1, Khu công nghiệp Thăng Long, Đông Anh, Hà Nội",Nhân viên,Từ 450 VND,2025-09-24,2025-10-24,https://www.vietnamworks.com/nhan-vien-phong-ky-thuat-san-xuat-pe--1961748-jv
HR Supervisor (Orvia),De Heus LLC,Tây Ninh,"KCN THÀNH THÀNH CÔNG, B9.1A Đường DB1, khu phố An Hội, Trảng Bàng, Tây Ninh",Trưởng phòng,Thỏa thuận,2025-09-24,2025-10-24,https://www.vietnamworks.com/hr-supervisor-orvia--1962035-jv
"Kế Toán Trưởng (Lĩnh Vực Hàng Hải, Cảng Biển)",Công Ty Cổ Phần Dịch Vụ Vận Tải Biển Hải Vân,Hồ Chí Minh,"26 Mỹ Phú 2C, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp.HCM",Nhân viên,30.000.000 - 50.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-truong-linh-vuc-hang-hai-cang-bien-1963958-jv
2D Pixel Artist (Background / Character / Monster),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/2d-pixel-artist-background-character-monster--1950401-jv
3D Background Modeler,Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-background-modeler--1950406-jv
3D Character Modeler (Stylized),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-stylized--1950411-jv
3D Character Modeler (Realistic),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-realistic--1950408-jv
Kỹ Sư Shopdrawing (Triển Khai Bản Vẽ Thi Công),Công Ty Cổ Phần Vinhomes,Hưng Yên,"Nghĩa Trụ, Văn Giang, Hưng Yên, Việt Nam",Nhân viên,700 - 1.000 VND,2025-09-18,2025-10-18,https://www.vietnamworks.com/ky-su-shopdrawing-trien-khai-ban-ve-thi-cong--1959410-jv
Nhân Viên Kỹ Thuật Sản Xuất (Tiếng Nhật N3 Trở Lên),"Hamaden Vietnam CO., LTD","Hải Dương, Hà Nội, Hưng Yên","Hải Dương, Việt Nam; Hà Nội, Vietnam; Lô A4, KCN Thăng Long 2, Liêu Xá, Yên Mỹ, Hưng Yên",Nhân viên,Thỏa thuận,2025-09-22,2025-10-22,https://www.vietnamworks.com/nhan-vien-ky-thuat-san-xuat-tieng-nhat-n3-tro-len--1945736-jv
Tuyển Sinh Thạc Sỹ Tài Chính,Chương Trình Thạc Sỹ Tài Chính Từ Đại Học Thương Mại Và Đại Học Jean Moulin Lyon 3,Hà Nội,Ha Noi,Nhân viên,Thỏa thuận,2025-09-23,2025-10-23,https://www.vietnamworks.com/tuyen-sinh-thac-sy-tai-chinh-1-1-1-1--1961466-jv
Nhân Viên Phòng Kỹ Thuật Sản Xuất (PE),Công Ty TNHH DENSO Việt Nam,Hà Nội,"Lô E-1, Khu công nghiệp Thăng Long, Đông Anh, Hà Nội",Nhân viên,Từ 450 VND,2025-09-24,2025-10-24,https://www.vietnamworks.com/nhan-vien-phong-ky-thuat-san-xuat-pe--1961748-jv
HR Supervisor (Orvia),De Heus LLC,Tây Ninh,"KCN THÀNH THÀNH CÔNG, B9.1A Đường DB1, khu phố An Hội, Trảng Bàng, Tây Ninh",Trưởng phòng,Thỏa thuận,2025-09-24,2025-10-24,https://www.vietnamworks.com/hr-supervisor-orvia--1962035-jv
"Kế Toán Trưởng (Lĩnh Vực Hàng Hải, Cảng Biển)",Công Ty Cổ Phần Dịch Vụ Vận Tải Biển Hải Vân,Hồ Chí Minh,"26 Mỹ Phú 2C, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp.HCM",Nhân viên,30.000.000 - 50.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-truong-linh-vuc-hang-hai-cang-bien-1963958-jv
2D Pixel Artist (Background / Character / Monster),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/2d-pixel-artist-background-character-monster--1950401-jv
3D Background Modeler,Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-background-modeler--1950406-jv
3D Character Modeler (Stylized),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-stylized--1950411-jv
3D Character Modeler (Realistic),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-realistic--1950408-jv
Trưởng Phòng Kinh Doanh Dịch Vụ Viễn Thông[ Thu Nhập Trên 300 Triệu/năm],Công Ty Cổ Phần Công Nghệ Consortio Việt Nam,Hà Nội,"Tầng 14, Tòa nhà Thăng Long Tower, số 98A, phố Nguỵ Như Kon Tum, Phường Thanh Xuân, Thành phố Hà Nội",Giám Đốc và Cấp Cao Hơn,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/truong-phong-kinh-doanh-dich-vu-vien-thong-thu-nhap-tren-300-trieu-nam--1958388-jv
ETC Regional Sales Manager (North),"United International Pharma Co., Ltd.",Hà Nội,"Lầu 6, Tòa nhà Horison, P. Ô Chợ Dừa, Hà Nội",Trưởng phòng,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/etc-regional-sales-manager-north-1958312-jv
[HN] Nhân Viên Kinh Doanh - Telesales B2B,Navigos Group,Hà Nội,"125 Phố Bà Triệu, phường Nguyễn Du, Hai Bà Trưng, Hà Nội, Việt Nam",Mới Tốt Nghiệp,Từ 400 VND,2025-09-16,2025-10-16,https://www.vietnamworks.com/hn-nhan-vien-kinh-doanh-telesales-b2b--1958298-jv
Chuyên Viên Kinh Doanh Tại VietnamWorks,Navigos Group,Hà Nội,"125 Phố Bà Triệu, phường Nguyễn Du, Hai Bà Trưng, Hà Nội, Việt Nam",Mới Tốt Nghiệp,400 - 500 VND,2025-09-16,2025-10-16,https://www.vietnamworks.com/chuyen-vien-kinh-doanh-tai-vietnamworks-1958300-jv
HR Supervisor (Orvia),De Heus LLC,Tây Ninh,"KCN THÀNH THÀNH CÔNG, B9.1A Đường DB1, khu phố An Hội, Trảng Bàng, Tây Ninh",Trưởng phòng,Thỏa thuận,2025-09-24,2025-10-24,https://www.vietnamworks.com/hr-supervisor-orvia--1962035-jv
"Kế Toán Trưởng (Lĩnh Vực Hàng Hải, Cảng Biển)",Công Ty Cổ Phần Dịch Vụ Vận Tải Biển Hải Vân,Hồ Chí Minh,"26 Mỹ Phú 2C, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp.HCM",Nhân viên,30.000.000 - 50.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-truong-linh-vuc-hang-hai-cang-bien-1963958-jv
2D Pixel Artist (Background / Character / Monster),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/2d-pixel-artist-background-character-monster--1950401-jv
3D Background Modeler,Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-background-modeler--1950406-jv
3D Character Modeler (Stylized),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-stylized--1950411-jv
3D Character Modeler (Realistic),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-realistic--1950408-jv
Kỹ Sư Shopdrawing (Triển Khai Bản Vẽ Thi Công),Công Ty Cổ Phần Vinhomes,Hưng Yên,"Nghĩa Trụ, Văn Giang, Hưng Yên, Việt Nam",Nhân viên,700 - 1.000 VND,2025-09-18,2025-10-18,https://www.vietnamworks.com/ky-su-shopdrawing-trien-khai-ban-ve-thi-cong--1959410-jv
Nhân Viên Kỹ Thuật Sản Xuất (Tiếng Nhật N3 Trở Lên),"Hamaden Vietnam CO., LTD","Hải Dương, Hà Nội, Hưng Yên","Hải Dương, Việt Nam; Hà Nội, Vietnam; Lô A4, KCN Thăng Long 2, Liêu Xá, Yên Mỹ, Hưng Yên",Nhân viên,Thỏa thuận,2025-09-22,2025-10-22,https://www.vietnamworks.com/nhan-vien-ky-thuat-san-xuat-tieng-nhat-n3-tro-len--1945736-jv
Tuyển Sinh Thạc Sỹ Tài Chính,Chương Trình Thạc Sỹ Tài Chính Từ Đại Học Thương Mại Và Đại Học Jean Moulin Lyon 3,Hà Nội,Ha Noi,Nhân viên,Thỏa thuận,2025-09-23,2025-10-23,https://www.vietnamworks.com/tuyen-sinh-thac-sy-tai-chinh-1-1-1-1--1961466-jv
Nhân Viên Phòng Kỹ Thuật Sản Xuất (PE),Công Ty TNHH DENSO Việt Nam,Hà Nội,"Lô E-1, Khu công nghiệp Thăng Long, Đông Anh, Hà Nội",Nhân viên,Từ 450 VND,2025-09-24,2025-10-24,https://www.vietnamworks.com/nhan-vien-phong-ky-thuat-san-xuat-pe--1961748-jv
HR Supervisor (Orvia),De Heus LLC,Tây Ninh,"KCN THÀNH THÀNH CÔNG, B9.1A Đường DB1, khu phố An Hội, Trảng Bàng, Tây Ninh",Trưởng phòng,Thỏa thuận,2025-09-24,2025-10-24,https://www.vietnamworks.com/hr-supervisor-orvia--1962035-jv
"Kế Toán Trưởng (Lĩnh Vực Hàng Hải, Cảng Biển)",Công Ty Cổ Phần Dịch Vụ Vận Tải Biển Hải Vân,Hồ Chí Minh,"26 Mỹ Phú 2C, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp.HCM",Nhân viên,30.000.000 - 50.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-truong-linh-vuc-hang-hai-cang-bien-1963958-jv
2D Pixel Artist (Background / Character / Monster),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/2d-pixel-artist-background-character-monster--1950401-jv
3D Background Modeler,Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-background-modeler--1950406-jv
3D Character Modeler (Stylized),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-stylized--1950411-jv
3D Character Modeler (Realistic),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-realistic--1950408-jv
Trưởng Phòng Kinh Doanh Dịch Vụ Viễn Thông[ Thu Nhập Trên 300 Triệu/năm],Công Ty Cổ Phần Công Nghệ Consortio Việt Nam,Hà Nội,"Tầng 14, Tòa nhà Thăng Long Tower, số 98A, phố Nguỵ Như Kon Tum, Phường Thanh Xuân, Thành phố Hà Nội",Giám Đốc và Cấp Cao Hơn,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/truong-phong-kinh-doanh-dich-vu-vien-thong-thu-nhap-tren-300-trieu-nam--1958388-jv
ETC Regional Sales Manager (North),"United International Pharma Co., Ltd.",Hà Nội,"Lầu 6, Tòa nhà Horison, P. Ô Chợ Dừa, Hà Nội",Trưởng phòng,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/etc-regional-sales-manager-north-1958312-jv
[HN] Nhân Viên Kinh Doanh - Telesales B2B,Navigos Group,Hà Nội,"125 Phố Bà Triệu, phường Nguyễn Du, Hai Bà Trưng, Hà Nội, Việt Nam",Mới Tốt Nghiệp,Từ 400 VND,2025-09-16,2025-10-16,https://www.vietnamworks.com/hn-nhan-vien-kinh-doanh-telesales-b2b--1958298-jv
Chuyên Viên Kinh Doanh Tại VietnamWorks,Navigos Group,Hà Nội,"125 Phố Bà Triệu, phường Nguyễn Du, Hai Bà Trưng, Hà Nội, Việt Nam",Mới Tốt Nghiệp,400 - 500 VND,2025-09-16,2025-10-16,https://www.vietnamworks.com/chuyen-vien-kinh-doanh-tai-vietnamworks-1958300-jv
HR Supervisor (Orvia),De Heus LLC,Tây Ninh,"KCN THÀNH THÀNH CÔNG, B9.1A Đường DB1, khu phố An Hội, Trảng Bàng, Tây Ninh",Trưởng phòng,Thỏa thuận,2025-09-24,2025-10-24,https://www.vietnamworks.com/hr-supervisor-orvia--1962035-jv
"Kế Toán Trưởng (Lĩnh Vực Hàng Hải, Cảng Biển)",Công Ty Cổ Phần Dịch Vụ Vận Tải Biển Hải Vân,Hồ Chí Minh,"26 Mỹ Phú 2C, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp.HCM",Nhân viên,30.000.000 - 50.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-truong-linh-vuc-hang-hai-cang-bien-1963958-jv
2D Pixel Artist (Background / Character / Monster),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/2d-pixel-artist-background-character-monster--1950401-jv
3D Background Modeler,Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-background-modeler--1950406-jv
3D Character Modeler (Stylized),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-stylized--1950411-jv
3D Character Modeler (Realistic),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-realistic--1950408-jv
Trưởng Phòng Kinh Doanh Dịch Vụ Viễn Thông[ Thu Nhập Trên 300 Triệu/năm],Công Ty Cổ Phần Công Nghệ Consortio Việt Nam,Hà Nội,"Tầng 14, Tòa nhà Thăng Long Tower, số 98A, phố Nguỵ Như Kon Tum, Phường Thanh Xuân, Thành phố Hà Nội",Giám Đốc và Cấp Cao Hơn,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/truong-phong-kinh-doanh-dich-vu-vien-thong-thu-nhap-tren-300-trieu-nam--1958388-jv
ETC Regional Sales Manager (North),"United International Pharma Co., Ltd.",Hà Nội,"Lầu 6, Tòa nhà Horison, P. Ô Chợ Dừa, Hà Nội",Trưởng phòng,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/etc-regional-sales-manager-north-1958312-jv
[HN] Nhân Viên Kinh Doanh - Telesales B2B,Navigos Group,Hà Nội,"125 Phố Bà Triệu, phường Nguyễn Du, Hai Bà Trưng, Hà Nội, Việt Nam",Mới Tốt Nghiệp,Từ 400 VND,2025-09-16,2025-10-16,https://www.vietnamworks.com/hn-nhan-vien-kinh-doanh-telesales-b2b--1958298-jv
Chuyên Viên Kinh Doanh Tại VietnamWorks,Navigos Group,Hà Nội,"125 Phố Bà Triệu, phường Nguyễn Du, Hai Bà Trưng, Hà Nội, Việt Nam",Mới Tốt Nghiệp,400 - 500 VND,2025-09-16,2025-10-16,https://www.vietnamworks.com/chuyen-vien-kinh-doanh-tai-vietnamworks-1958300-jv
HR Supervisor (Orvia),De Heus LLC,Tây Ninh,"KCN THÀNH THÀNH CÔNG, B9.1A Đường DB1, khu phố An Hội, Trảng Bàng, Tây Ninh",Trưởng phòng,Thỏa thuận,2025-09-24,2025-10-24,https://www.vietnamworks.com/hr-supervisor-orvia--1962035-jv
"Kế Toán Trưởng (Lĩnh Vực Hàng Hải, Cảng Biển)",Công Ty Cổ Phần Dịch Vụ Vận Tải Biển Hải Vân,Hồ Chí Minh,"26 Mỹ Phú 2C, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp.HCM",Nhân viên,30.000.000 - 50.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-truong-linh-vuc-hang-hai-cang-bien-1963958-jv
2D Pixel Artist (Background / Character / Monster),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/2d-pixel-artist-background-character-monster--1950401-jv
3D Background Modeler,Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-background-modeler--1950406-jv
3D Character Modeler (Stylized),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-stylized--1950411-jv
3D Character Modeler (Realistic),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-realistic--1950408-jv
Kỹ Sư Shopdrawing (Triển Khai Bản Vẽ Thi Công),Công Ty Cổ Phần Vinhomes,Hưng Yên,"Nghĩa Trụ, Văn Giang, Hưng Yên, Việt Nam",Nhân viên,700 - 1.000 VND,2025-09-18,2025-10-18,https://www.vietnamworks.com/ky-su-shopdrawing-trien-khai-ban-ve-thi-cong--1959410-jv
Nhân Viên Kỹ Thuật Sản Xuất (Tiếng Nhật N3 Trở Lên),"Hamaden Vietnam CO., LTD","Hải Dương, Hà Nội, Hưng Yên","Hải Dương, Việt Nam; Hà Nội, Vietnam; Lô A4, KCN Thăng Long 2, Liêu Xá, Yên Mỹ, Hưng Yên",Nhân viên,Thỏa thuận,2025-09-22,2025-10-22,https://www.vietnamworks.com/nhan-vien-ky-thuat-san-xuat-tieng-nhat-n3-tro-len--1945736-jv
Tuyển Sinh Thạc Sỹ Tài Chính,Chương Trình Thạc Sỹ Tài Chính Từ Đại Học Thương Mại Và Đại Học Jean Moulin Lyon 3,Hà Nội,Ha Noi,Nhân viên,Thỏa thuận,2025-09-23,2025-10-23,https://www.vietnamworks.com/tuyen-sinh-thac-sy-tai-chinh-1-1-1-1--1961466-jv
Nhân Viên Phòng Kỹ Thuật Sản Xuất (PE),Công Ty TNHH DENSO Việt Nam,Hà Nội,"Lô E-1, Khu công nghiệp Thăng Long, Đông Anh, Hà Nội",Nhân viên,Từ 450 VND,2025-09-24,2025-10-24,https://www.vietnamworks.com/nhan-vien-phong-ky-thuat-san-xuat-pe--1961748-jv
HR Supervisor (Orvia),De Heus LLC,Tây Ninh,"KCN THÀNH THÀNH CÔNG, B9.1A Đường DB1, khu phố An Hội, Trảng Bàng, Tây Ninh",Trưởng phòng,Thỏa thuận,2025-09-24,2025-10-24,https://www.vietnamworks.com/hr-supervisor-orvia--1962035-jv
"Kế Toán Trưởng (Lĩnh Vực Hàng Hải, Cảng Biển)",Công Ty Cổ Phần Dịch Vụ Vận Tải Biển Hải Vân,Hồ Chí Minh,"26 Mỹ Phú 2C, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp.HCM",Nhân viên,30.000.000 - 50.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-truong-linh-vuc-hang-hai-cang-bien-1963958-jv
2D Pixel Artist (Background / Character / Monster),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/2d-pixel-artist-background-character-monster--1950401-jv
3D Background Modeler,Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-background-modeler--1950406-jv
3D Character Modeler (Stylized),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-stylized--1950411-jv
3D Character Modeler (Realistic),Nexon Dev VINA,Hồ Chí Minh,"Tòa nhà UOA, Tầng 11, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/3d-character-modeler-realistic--1950408-jv
